,Topic,Word,P
1443,72,chayne,0.00943746231496334
1444,72,hine,0.008987477980554104
1445,72,wan,0.0084929708391428
1446,72,know,0.008288430981338024
1447,72,garratt,0.008104907348752022
1448,72,tha,0.008082723245024681
1449,72,brooke,0.007786941714584827
1450,72,wid,0.007735810708254576
1451,72,come,0.007433036807924509
1452,72,bessie,0.007387393619865179
1453,72,tim,0.007371473591774702
1454,72,back,0.00553774693980813
1455,72,roy,0.005391745362430811
1456,72,look,0.005279381759464741
1457,72,father,0.0052162520587444305
1458,72,yer,0.005080727860331535
1459,72,think,0.004752633161842823
1460,73,drink,0.04673197492957115
1461,73,wine,0.04191567748785019
1462,73,bottle,0.026266755536198616
1463,73,glass,0.024078240618109703
1464,73,miss,0.017310725525021553
1465,73,liquor,0.016036635264754295
1466,73,beer,0.013737641274929047
1467,73,drunk,0.009597958996891975
1468,73,cup,0.007927278988063335
1469,73,spider,0.007854809053242207
1470,73,maud,0.007661362644284964
1471,73,drinking,0.007508450653403997
1472,73,brandy,0.00746980682015419
1473,73,table,0.006100812461227179
1474,73,tommy,0.00609339727088809
1475,73,whisky,0.00600504782050848
1476,73,champagne,0.00572911836206913
1477,73,make,0.00550917349755764
1478,73,water,0.005127586890012026
1479,73,temperance,0.004923009313642979
1480,74,old,0.012116346508264542
1481,74,wall,0.011138248257339
1482,74,room,0.010365727357566357
1483,74,great,0.008326562121510506
1484,74,palace,0.007930293679237366
1485,74,church,0.006706776563078165
1486,74,window,0.006646467372775078
1487,74,place,0.006355626042932272
1488,74,cathedral,0.006141940597444773
1489,74,hall,0.005857239942997694
1490,74,see,0.0056564901024103165
1491,74,marble,0.005309793166816235
1492,74,house,0.005125408060848713
1493,74,chapel,0.004874200560152531
1494,74,century,0.004770132713019848
1495,74,door,0.0046242824755609035
1496,74,castle,0.004582047928124666
1497,74,stand,0.0044160145334899426
1498,74,many,0.004108150955289602
1499,74,tower,0.004045744892209768
1500,75,poet,0.02495449036359787
1501,75,poem,0.02152073383331299
1502,75,verse,0.019555658102035522
1503,75,poetry,0.018388288095593452
1504,75,line,0.007411986123770475
1505,75,write,0.005798551719635725
1506,75,prose,0.005573436617851257
1507,75,song,0.005500076338648796
1508,75,poetic,0.005409203004091978
1509,75,read,0.005292978137731552
1510,75,love,0.005247207824140787
1511,75,milton,0.005053170956671238
1512,75,beauty,0.004820577334612608
1513,75,find,0.0047186571173369884
1514,75,literature,0.004618546925485134
1515,75,make,0.004609766881912947
1516,75,thought,0.004573145881295204
1517,75,book,0.004298665095120668
1518,75,dante,0.004168346058577299
1519,75,first,0.003995244391262531
1520,76,colonel,0.22927112877368927
1521,76,martin,0.05250154063105583
1522,76,balloon,0.03171295300126076
1523,76,opp,0.015892837196588516
1524,76,marshall,0.015581978484988213
1525,76,signor,0.012542870827019215
1526,76,forbes,0.012242051772773266
1527,76,crawford,0.01173226535320282
1528,76,talbot,0.010058575309813023
1529,76,barber,0.009046024642884731
1530,76,janey,0.007069868966937065
1531,76,gun,0.0069966865703463554
1532,76,signora,0.00641450472176075
1533,76,toto,0.006278512068092823
1534,76,may,0.006044269539415836
1535,76,giuseppe,0.005011428613215685
1536,76,wayne,0.004359133075922728
1537,76,murdoch,0.004241509363055229
1538,76,etheridge,0.004225630778819323
1539,76,take,0.003936283756047487
1540,77,church,0.07591379433870316
1541,77,minister,0.019445743411779404
1542,77,sunday,0.015997448936104774
1543,77,sermon,0.012460493482649326
1544,77,bishop,0.012337286956608295
1545,77,preach,0.010798598639667034
1546,77,service,0.010288676247000694
1547,77,preacher,0.009748004376888275
1548,77,clergyman,0.00929336715489626
1549,77,parish,0.009208251722157001
1550,77,parson,0.009085912257432938
1551,77,congregation,0.008129645138978958
1552,77,people,0.008014616556465626
1553,77,pulpit,0.007575654424726963
1554,77,old,0.007548146415501833
1555,77,prayer,0.007404852658510208
1556,77,day,0.006874254904687405
1557,77,deacon,0.006431373301893473
1558,77,rev,0.006387355737388134
1559,77,pastor,0.006291983183473349
1560,78,governor,0.16211996972560883
1561,78,robinson,0.03837875649333
1562,78,excellency,0.02151470258831978
1563,78,patriarch,0.015105611644685268
1564,78,tartarin,0.013020353391766548
1565,78,sawyer,0.010405664332211018
1566,78,wolfe,0.009121670387685299
1567,78,easter,0.008804241195321083
1568,78,elijah,0.007303882390260696
1569,78,tithe,0.007013936061412096
1570,78,tarascon,0.006729427725076675
1571,78,alphonse,0.006716355215758085
1572,78,crusoe,0.0062380158342421055
1573,78,great,0.006143422331660986
1574,78,bartholomew,0.006116589065641165
1575,78,messina,0.006026867777109146
1576,78,mather,0.005884142592549324
1577,78,tunis,0.00499746622517705
1578,78,colony,0.004908079281449318
1579,78,newark,0.004799227230250835
1580,79,club,0.04799817502498627
1581,79,society,0.04480323567986488
1582,79,member,0.033895254135131836
1583,79,committee,0.020519133657217026
1584,79,meeting,0.01810612715780735
1585,79,association,0.01434594951570034
1586,79,national,0.013538740575313568
1587,79,geographic,0.012727057561278343
1588,79,president,0.01098958682268858
1589,79,lecture,0.009762503206729889
1590,79,year,0.009671632200479507
1591,79,secretary,0.009069424122571945
1592,79,report,0.00878823921084404
1593,79,board,0.008411985822021961
1594,79,work,0.007908433675765991
1595,79,record,0.007459250744432211
1596,79,hall,0.007329533342272043
1597,79,annual,0.007113785482943058
1598,79,hold,0.006980461999773979
1599,79,number,0.006545256357640028
1600,80,irish,0.13041582703590393
1601,80,ireland,0.08144886046648026
1602,80,card,0.03521903231739998
1603,80,oyster,0.030907925218343735
1604,80,irishman,0.028321169316768646
1605,80,pearl,0.022709431126713753
1606,80,patrick,0.021373780444264412
1607,80,dublin,0.019141802564263344
1608,80,fairy,0.019025571644306183
1609,80,mummy,0.012390936724841595
1610,80,scudder,0.010548579506576061
1611,80,cork,0.009532653726637363
1612,80,bayou,0.00909822341054678
1613,80,celtic,0.008171312510967255
1614,80,barry,0.007757304236292839
1615,80,buckle,0.007615860551595688
1616,80,diver,0.007050336804240942
1617,80,pawn,0.006579565815627575
1618,80,acadian,0.005806846544146538
1619,80,scotland,0.005700578913092613
1620,81,arnold,0.08290934562683105
1621,81,elia,0.04008139297366142
1622,81,forest,0.025194313377141953
1623,81,mount,0.021267998963594437
1624,81,mum,0.020410828292369843
1625,81,glacier,0.018667234107851982
1626,81,nat,0.016350189223885536
1627,81,zealand,0.014660505577921867
1628,81,yakutat,0.012341990135610104
1629,81,name,0.011658941395580769
1630,81,auburn,0.011285599321126938
1631,81,georgetown,0.011108094826340675
1632,81,bay,0.011099099181592464
1633,81,lll,0.010573355481028557
1634,81,dixon,0.009520741179585457
1635,81,salle,0.008665179833769798
1636,81,exploration,0.00861270446330309
1637,81,jefferson,0.008432500995695591
1638,81,mention,0.00836548488587141
1639,81,gage,0.008119725622236729
1640,82,come,0.0163960549980402
1641,82,hand,0.014542687684297562
1642,82,look,0.014034881256520748
1643,82,face,0.012015553191304207
1644,82,eye,0.011490016244351864
1645,82,go,0.010833734646439552
1646,82,door,0.009652949869632721
1647,82,back,0.008878306485712528
1648,82,man,0.00821598805487156
1649,82,turn,0.00820871815085411
1650,82,stand,0.008032436482608318
1651,82,see,0.007697016466408968
1652,82,voice,0.007162163965404034
1653,82,know,0.006945974193513393
1654,82,moment,0.00690185371786356
1655,82,take,0.006822966039180756
1656,82,cry,0.006755128502845764
1657,82,room,0.006729040294885635
1658,82,head,0.006688149180263281
1659,82,hear,0.006290150340646505
